Process: svchost.exe, Start Time: 2025-05-11 14:40:31
Process: AMDRSServ.exe, Start Time: 2025-05-11 14:40:31
Process: punto.exe, Start Time: 2025-05-11 14:40:31
Process: TextInputHost.exe, Start Time: 2025-05-11 14:40:35
Process: Code.exe, Start Time: 2025-05-11 14:42:12
Process: svchost.exe, Start Time: 2025-05-11 14:55:22
Process: Code.exe, Start Time: 2025-05-11 14:42:27
Process: explorer.exe, Start Time: 2025-05-11 14:41:03
Process: ShellExperienceHost.exe, Start Time: 2025-05-11 14:40:38
Process: SystemSettings.exe, Start Time: 2025-05-11 14:41:40
Process: RuntimeBroker.exe, Start Time: 2025-05-11 14:40:38
Process: svchost.exe, Start Time: 2025-05-11 14:42:11
